,,,,,,,,,,,,,,,,
city id,city name,0,1,2,3,,,,,,,,,,,
100,Los Angeles - Cadillac-Corning ,0.487,0.504,0.521,0.538,,,,,,,,,,,
101,Los Angeles - Canoga Park ,0.702857143,0.728285714,0.753714286,0.779142857,,,,,,,,,,,
102,Los Angeles - Carthay ,0.449571429,0.46725,0.484928571,0.502607143,,,,,,,,,,,
103,Los Angeles - Central ,0.907714286,0.942964286,0.978214286,1,,,,,,,,,,,
104,Los Angeles - Century City ,0.273428571,0.289,0.304571429,0.320142857,,,,,,,,,,,
105,Los Angeles - Century Palms/Cove ,0.969857143,1,1,1,,,,,,,,,,,
106,Los Angeles - Chatsworth ,0.652142857,0.677714286,0.703285714,0.728857143,,,,,,,,,,,
107,Los Angeles - Cheviot Hills ,0.340714286,0.353892857,0.367071429,0.38025,,,,,,,,,,,
108,Los Angeles - Chinatown ,0.658571429,0.67675,0.694928571,0.713107143,,,,,,,,,,,
109,Los Angeles - Cloverdale/Cochran ,0.369428571,0.373785714,0.378142857,0.3825,,,,,,,,,,,
110,Los Angeles - Country Club Park ,0.626857143,0.670464286,0.714071429,0.757678571,,,,,,,,,,,
111,Los Angeles - Crenshaw District ,0.497285714,0.514464286,0.531642857,0.548821429,,,,,,,,,,,
112,Los Angeles - Crestview ,0.360714286,0.377357143,0.394,0.410642857,,,,,,,,,,,
113,Los Angeles - Del Rey ,0.376428571,0.386821429,0.397214286,0.407607143,,,,,,,,,,,
114,Los Angeles - Downtown* ,1,1,1,1,,,,,,,,,,,
115,Los Angeles - Eagle Rock ,0.516714286,0.536285714,0.555857143,0.575428571,,,,,,,,,,,
116,Los Angeles - East Hollywood ,0.576714286,0.592,0.607285714,0.622571429,,,,,,,,,,,
117,Los Angeles - Echo Park ,0.489,0.5075,0.526,0.5445,,,,,,,,,,,
118,Los Angeles - El Sereno ,0.745,0.759428571,0.773857143,0.788285714,,,,,,,,,,,
119,Los Angeles - Elysian Park ,0.312428571,0.304285714,0.296142857,0.288,,,,,,,,,,,
